instance_type,time_stump,region,zone,price
m3.large,2019-11-21 22:21,ap-northeast-1,ap-northeast-1c,0.031700
r5d.xlarge,2019-11-21 20:49,ap-northeast-1,ap-northeast-1c,0.073200
r3.xlarge,2019-11-21 20:35,ap-northeast-1,ap-northeast-1c,0.070300
m5.xlarge,2019-11-21 17:39,ap-northeast-1,ap-northeast-1c,0.071800
m5.large,2019-11-21 07:56,ap-northeast-1,ap-northeast-1c,0.035000
m5.2xlarge,2019-11-21 23:05,ap-northeast-1,ap-northeast-1c,0.148600
m3.large,2019-11-21 22:21,ap-northeast-1,ap-northeast-1c,0.031700
r5d.xlarge,2019-11-21 20:49,ap-northeast-1,ap-northeast-1c,0.073200
r3.xlarge,2019-11-21 20:35,ap-northeast-1,ap-northeast-1c,0.070300
m5.xlarge,2019-11-21 17:39,ap-northeast-1,ap-northeast-1c,0.071800
m5.2xlarge,2019-11-21 16:49,ap-northeast-1,ap-northeast-1c,0.148800
r3.xlarge,2019-11-21 15:17,ap-northeast-1,ap-northeast-1c,0.070400
m5.xlarge,2019-11-21 10:33,ap-northeast-1,ap-northeast-1c,0.071900
m5.2xlarge,2019-11-21 08:27,ap-northeast-1,ap-northeast-1c,0.148500
m5.large,2019-11-21 07:56,ap-northeast-1,ap-northeast-1c,0.035000
m5.xlarge,2019-11-21 04:58,ap-northeast-1,ap-northeast-1c,0.072000
r3.xlarge,2019-11-21 04:25,ap-northeast-1,ap-northeast-1c,0.070500
m5.2xlarge,2019-11-21 02:36,ap-northeast-1,ap-northeast-1c,0.148500
r3.xlarge,2019-11-20 23:32,ap-northeast-1,ap-northeast-1c,0.070700
m3.large,2019-11-20 22:21,ap-northeast-1,ap-northeast-1c,0.031700
m5.xlarge,2019-11-20 21:26,ap-northeast-1,ap-northeast-1c,0.072200
r5d.xlarge,2019-11-20 20:49,ap-northeast-1,ap-northeast-1c,0.073200
m5.2xlarge,2019-11-20 20:12,ap-northeast-1,ap-northeast-1c,0.147800
m5.large,2019-11-20 07:56,ap-northeast-1,ap-northeast-1c,0.035000
r3.xlarge,2019-11-20 23:32,ap-northeast-1,ap-northeast-1c,0.070700
m3.large,2019-11-20 22:21,ap-northeast-1,ap-northeast-1c,0.031700
m5.xlarge,2019-11-20 21:26,ap-northeast-1,ap-northeast-1c,0.072200
r5d.xlarge,2019-11-20 20:49,ap-northeast-1,ap-northeast-1c,0.073200
m5.2xlarge,2019-11-20 20:12,ap-northeast-1,ap-northeast-1c,0.147800
r3.xlarge,2019-11-20 16:59,ap-northeast-1,ap-northeast-1c,0.070800
m5.xlarge,2019-11-20 15:35,ap-northeast-1,ap-northeast-1c,0.072300
m5.2xlarge,2019-11-20 12:40,ap-northeast-1,ap-northeast-1c,0.147700
r3.xlarge,2019-11-20 10:09,ap-northeast-1,ap-northeast-1c,0.071000
m5.large,2019-11-20 07:56,ap-northeast-1,ap-northeast-1c,0.035000
m5.2xlarge,2019-11-20 05:58,ap-northeast-1,ap-northeast-1c,0.147500
r3.xlarge,2019-11-20 03:03,ap-northeast-1,ap-northeast-1c,0.071100
m5.xlarge,2019-11-20 02:46,ap-northeast-1,ap-northeast-1c,0.072200
m5.large,2019-11-20 01:31,ap-northeast-1,ap-northeast-1c,0.035100
m5.2xlarge,2019-11-19 23:17,ap-northeast-1,ap-northeast-1c,0.147200
m3.large,2019-11-19 22:21,ap-northeast-1,ap-northeast-1c,0.031700
r5d.xlarge,2019-11-19 20:48,ap-northeast-1,ap-northeast-1c,0.073200
m5.xlarge,2019-11-19 19:31,ap-northeast-1,ap-northeast-1c,0.072100
m5.large,2019-11-19 18:07,ap-northeast-1,ap-northeast-1c,0.035000
r3.xlarge,2019-11-19 12:41,ap-northeast-1,ap-northeast-1c,0.071200
m5.2xlarge,2019-11-19 23:17,ap-northeast-1,ap-northeast-1c,0.147200
m3.large,2019-11-19 22:21,ap-northeast-1,ap-northeast-1c,0.031700
m3.large,2019-11-19 22:07,ap-northeast-1,ap-northeast-1c,0.031700
r5d.xlarge,2019-11-19 20:48,ap-northeast-1,ap-northeast-1c,0.073200
m5.xlarge,2019-11-19 19:31,ap-northeast-1,ap-northeast-1c,0.072100
m5.2xlarge,2019-11-19 18:16,ap-northeast-1,ap-northeast-1c,0.147500
m5.2xlarge,2019-11-19 18:07,ap-northeast-1,ap-northeast-1c,0.147100
m5.large,2019-11-19 18:07,ap-northeast-1,ap-northeast-1c,0.035000
m5.large,2019-11-19 15:05,ap-northeast-1,ap-northeast-1c,0.035000
m5.2xlarge,2019-11-19 12:41,ap-northeast-1,ap-northeast-1c,0.147100
r3.xlarge,2019-11-19 12:41,ap-northeast-1,ap-northeast-1c,0.071200
m5.xlarge,2019-11-19 12:25,ap-northeast-1,ap-northeast-1c,0.072200
r3.xlarge,2019-11-19 06:33,ap-northeast-1,ap-northeast-1c,0.071100
m5.2xlarge,2019-11-19 06:25,ap-northeast-1,ap-northeast-1c,0.146700
m5.xlarge,2019-11-19 06:16,ap-northeast-1,ap-northeast-1c,0.072100
m5.xlarge,2019-11-19 01:16,ap-northeast-1,ap-northeast-1c,0.071900
m5.2xlarge,2019-11-18 23:52,ap-northeast-1,ap-northeast-1c,0.146000
r3.xlarge,2019-11-18 23:18,ap-northeast-1,ap-northeast-1c,0.071200
m3.large,2019-11-18 22:13,ap-northeast-1,ap-northeast-1c,0.031700
r5d.xlarge,2019-11-18 20:47,ap-northeast-1,ap-northeast-1c,0.073200
m5.large,2019-11-18 15:05,ap-northeast-1,ap-northeast-1c,0.035000
m5.xlarge,2019-11-18 13:59,ap-northeast-1,ap-northeast-1c,0.071800
m5.2xlarge,2019-11-18 23:52,ap-northeast-1,ap-northeast-1c,0.146000
r3.xlarge,2019-11-18 23:18,ap-northeast-1,ap-northeast-1c,0.071200
m3.large,2019-11-18 22:13,ap-northeast-1,ap-northeast-1c,0.031700
r5d.xlarge,2019-11-18 20:47,ap-northeast-1,ap-northeast-1c,0.073200
m5.2xlarge,2019-11-18 18:25,ap-northeast-1,ap-northeast-1c,0.145800
r3.xlarge,2019-11-18 15:56,ap-northeast-1,ap-northeast-1c,0.071300
m5.large,2019-11-18 15:05,ap-northeast-1,ap-northeast-1c,0.035000
m5.xlarge,2019-11-18 13:59,ap-northeast-1,ap-northeast-1c,0.071800
m5.2xlarge,2019-11-18 12:42,ap-northeast-1,ap-northeast-1c,0.145200
m5.2xlarge,2019-11-18 12:26,ap-northeast-1,ap-northeast-1c,0.145200
r3.xlarge,2019-11-18 11:11,ap-northeast-1,ap-northeast-1c,0.071400
m5.xlarge,2019-11-18 09:42,ap-northeast-1,ap-northeast-1c,0.071700
m5.large,2019-11-18 08:39,ap-northeast-1,ap-northeast-1c,0.035100
m5.xlarge,2019-11-18 07:16,ap-northeast-1,ap-northeast-1c,0.071700
r3.xlarge,2019-11-18 06:27,ap-northeast-1,ap-northeast-1c,0.071500
m5.2xlarge,2019-11-18 06:10,ap-northeast-1,ap-northeast-1c,0.144000
m5.large,2019-11-18 02:07,ap-northeast-1,ap-northeast-1c,0.035100
m5.xlarge,2019-11-18 00:35,ap-northeast-1,ap-northeast-1c,0.071600
m5.2xlarge,2019-11-17 23:04,ap-northeast-1,ap-northeast-1c,0.143600
